timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1647695335420,10974,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-568,text,true,,607,117,379,379,https://facebook.com/,10974,0,10925
1647695346396,21031,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-568,text,false,,3458,0,379,379,https://www.facebook.com/,0,0,21030
1647695335451,32021,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-421,text,false,,4082,117,378,378,https://www.facebook.com/,10989,0,10943
1647695335451,10989,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-421,text,true,,624,117,378,378,https://facebook.com/,10989,0,10943
1647695346443,21029,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-421,text,false,,3458,0,378,378,https://www.facebook.com/,0,0,21029
1647695335052,32435,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-344,text,false,,4082,117,377,377,https://www.facebook.com/,11400,0,11352
1647695335452,32035,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-685,text,false,,4065,117,377,377,https://www.facebook.com/,10997,0,10952
1647695335461,32026,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-465,text,false,,4082,117,377,377,https://www.facebook.com/,10988,0,10943
1647695335052,11400,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-344,text,true,,624,117,377,377,https://facebook.com/,11400,0,11352
1647695335452,10997,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-685,text,true,,607,117,377,377,https://facebook.com/,10997,0,10952
1647695335461,10988,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-465,text,true,,624,117,377,377,https://facebook.com/,10988,0,10943
1647695346454,21033,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-344,text,false,,3458,0,377,377,https://www.facebook.com/,0,0,21033
1647695346452,21035,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-465,text,false,,3458,0,377,377,https://www.facebook.com/,0,0,21035
1647695346452,21035,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-685,text,false,,3458,0,377,377,https://www.facebook.com/,0,0,21035
1647695335310,32177,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-475,text,false,,4065,117,377,377,https://www.facebook.com/,11139,0,11094
1647695335310,11139,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-475,text,true,,607,117,377,377,https://facebook.com/,11139,0,11094
1647695346452,21035,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-475,text,false,,3458,0,377,377,https://www.facebook.com/,0,0,21035
1647695335122,32441,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-396,text,false,,4082,117,373,373,https://www.facebook.com/,11419,0,11374
1647695335122,11419,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-396,text,true,,624,117,373,373,https://facebook.com/,11419,0,11374
1647695346543,21020,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-396,text,false,,3458,0,373,373,https://www.facebook.com/,0,0,21020
1647695335433,32145,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-715,text,false,,4082,117,372,372,https://www.facebook.com/,11121,0,11076
1647695335433,11121,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-715,text,true,,624,117,372,372,https://facebook.com/,11121,0,11076
1647695346557,21021,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-715,text,false,,3458,0,372,372,https://www.facebook.com/,0,0,21021
1647695335066,32512,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-336,text,false,,4065,117,372,372,https://www.facebook.com/,11484,0,11424
1647695335066,11484,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-336,text,true,,607,117,372,372,https://facebook.com/,11484,0,11424
1647695346553,21025,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-336,text,false,,3458,0,372,372,https://www.facebook.com/,0,0,21025
1647695335109,32488,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-218,text,false,,4082,117,370,370,https://www.facebook.com/,11454,0,11402
1647695335109,11454,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-218,text,true,,624,117,370,370,https://facebook.com/,11454,0,11402
1647695346565,21032,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-218,text,false,,3458,0,370,370,https://www.facebook.com/,0,0,21032
1647695335109,33853,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-375,text,false,,4065,117,369,369,https://www.facebook.com/,12796,0,12050
1647695335109,12796,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-375,text,true,,607,117,369,369,https://facebook.com/,12796,0,12050
